FID,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Latitude,Longitude,Area in m^2
1237,1920,2,2,983.0,35.5288938799999,33.8882689599999,61.9138890134
1238,1920,1,1,5.016,35.52893967,33.8882066899999,60.1087988139
1239,1920,3,3,31.029,35.5291962,33.8881657499999,133.587631477999
1240,1920,4,4,10.943,35.5292607399999,33.88811204,60.3752518896
1241,1920,1,1,34.5,35.52937227,33.8881709899999,69.5696922045
1242,1920,1,1,2.0,35.5293197399999,33.88823009,64.4704404354999
1243,1920,1,1,1.214,35.5292725799999,33.8882969399999,28.1122632000999
1244,1920,2,2,5.032,35.52916806,33.888426,65.9348891251
1245,1920,2,2,11.0269999999999,35.5294462399999,33.88820768,73.0591304069999
1246,1920,1,1,8.44699999999999,35.52939613,33.8882638999999,61.6732115602
1247,1920,3,3,9.026,35.5290402199999,33.8882636399999,53.0628245236
1248,1920,1,1,6.609,35.52932512,33.88833815,74.9286879442999
1249,1920,2,2,1.035,35.52899088,33.8883281,57.5239383597999
1250,1920,2,2,1.262,35.5288525799999,33.88851531,58.618111704
1251,1920,2,2,4.25,35.52909016,33.88834535,121.445040798999
1252,1920,3,3,13.3219999999999,35.5295565999999,33.8882684,80.8596472825999
1253,1920,3,3,7.066,35.5294841999999,33.8885115699999,58.4431985850999
1254,1920,1,1,5.431,35.52950887,33.88843475,58.5967371130999
1255,1920,3,3,10.051,35.5296322399999,33.8883026199999,91.5599174492
1256,1920,2,2,9.082,35.5296795399999,33.8884398599999,60.6644325962
1257,1920,2,2,1.909,35.52957534,33.88856065,61.7666468481
1258,1920,4,4,509.0,35.5295903399999,33.8886643499999,55.3784758410999
1259,1920,1,1,14.4659999999999,35.52974159,33.88847647,60.1855412865999
1260,1920,3,3,3.414,35.5294799799999,33.8883724399999,141.703847322999
1261,1920,1,1,6.183,35.52939748,33.88845097,72.5745557264999
1262,1920,4,4,1.304,35.5298100799999,33.88869983,72.634760704
1263,1920,1,1,2.459,35.52996015,33.8885039099999,74.1972268163
1264,1920,2,2,8.34,35.53001057,33.8884619299999,84.0445550163999
1265,1920,1,1,5.228,35.52980509,33.88859592,50.10465971
1266,1920,1,1,9.965,35.52974992,33.88867073,61.5964775699999
1267,1920,3,3,12.551,35.5297004199999,33.8887242699999,63.3050701007
1268,1920,2,2,22.855,35.52964713,33.88878821,62.597284172
1269,1920,1,1,4.131,35.5297686799999,33.8887638,73.3161640484999
1270,1920,2,3,10.555,35.5298640999999,33.88825516,95.1443816957
1271,1920,3,3,9.573,35.5293413699999,33.8880203599999,118.998713291
1272,1950,3,6,41.493,35.5303364199999,33.88804297,129.078972843
1273,1920,2,2,9.272,35.5302793999999,33.88815219,155.727633086999
1274,1950,5,5,18.1849999999999,35.52951249,33.88789392,122.622215741999
1275,1950,4,4,18.4759999999999,35.5296480499999,33.8879312899999,217.724608947999
1276,1950,3,3,6.041,35.52988176,33.8880361499999,121.167729179
1277,1940,3,3,10.38,35.5301268899999,33.88809778,59.1573110460999
1278,1950,6,12,42.3359999999999,35.52932003,33.88781833,246.090639148
1279,1950,3,6,24.658,35.53002688,33.8875221799999,255.647645678
1280,1920,1,1,49.5959999999999,35.5301326299999,33.8877309499999,144.286755591
1281,1950,4,8,34.2899999999999,35.53021117,33.8875469299999,123.763959053999
1282,1950,4,8,16.3709999999999,35.53026724,33.88760234,123.603306681
1283,1950,5,10,57.878,35.5303694999999,33.88763848,162.666741449
1284,1950,6,16,73.1119999999999,35.5305140099999,33.88769939,202.317173988999
1285,1950,5,10,51.628,35.53066263,33.8877551499999,152.579410512999
1286,1920,1,1,7.975,35.53055736,33.88792698,154.042533211
